"id","fdc_id","fdc_of_input_food","seq_num","amount","sr_code","sr_description","unit","portion_code","portion_description","gram_weight","retention_code","survey_flag"
"113156","2343204","","2","0.5","11100000","Milk, NFS","C","10205","1 cup","122.0","2152",""
"113155","2343204","","1","0.5","14411","Beverages, water, tap, drinking","C","10205","1 cup","118.5","0",""
"113158","2343204","","4","1.0","19335","Sugars, granulated","TB","10205","1 cup","12.5","0",""
"113159","2343204","","5","0.5","1001","Butter, stick, salted","TB","10205","1 cup","7.0","0",""
"113161","2343204","","7","1.0","18375","Leavening agents, yeast, baker's, active dry","","62993","1/4 oz package","7.0","0",""
"113162","2343204","","8","2.0","20083","Flour, bread, white, enriched, unbleached","C","10205","1 cup","274.0","301",""
"113164","2343204","","10","0.25","19335","Sugars, granulated","C","10205","1 cup","50.0","0",""
"113160","2343204","","6","6.406","4615","Shortening, vegetable, household, composite","GM","0","NONE","6.406","0",""
"113166","2343204","","12","1.5","1001","Butter, stick, salted","TS","10205","1 cup","7.0","0",""
"113168","2343205","","1","100.0","51301120","Bread, wheat or cracked wheat, with raisins","GM","0","NONE","100.0","306",""
"113169","2343206","","1","97.0","18057","Bread, reduced-calorie, white","GM","0","NONE","97.0","0",""
"113170","2343206","","2","3.0","20077","Wheat bran, crude","GM","0","NONE","3.0","0",""
"113171","2343207","","1","100.0","51301510","Bread, wheat or cracked wheat, reduced calorie and/or high fiber","GM","0","NONE","100.0","306",""
"113172","2343208","","1","100.0","28318","Bread, french or vienna, whole wheat","GM","0","NONE","100.0","0",""
"113173","2343209","","1","100.0","51301540","Bread, French or Vienna, whole wheat","GM","0","NONE","100.0","306",""
"113174","2343210","","1","100.0","18042","Bread, pita, whole-wheat","GM","0","NONE","100.0","0",""
"113175","2343211","","1","100.0","18042","Bread, pita, whole-wheat","GM","0","NONE","100.0","0",""
"113176","2343212","","1","100.0","18968","Bagels, wheat","GM","0","NONE","100.0","0",""
"113177","2343213","","1","100.0","18968","Bagels, wheat","GM","0","NONE","100.0","0",""
"113178","2343214","","1","90.0","18968","Bagels, wheat","GM","0","NONE","90.0","0",""
"113179","2343214","","2","10.0","9298","Raisins, dark, seedless (Includes foods for USDA's Food Distribution Program)","GM","0","NONE","10.0","251",""
"113181","2343215","","2","10.0","9298","Raisins, dark, seedless (Includes foods for USDA's Food Distribution Program)","GM","0","NONE","10.0","251",""
"113180","2343215","","1","90.0","18968","Bagels, wheat","GM","0","NONE","90.0","0",""
"113184","2343216","","3","2.0","12155","Nuts, walnuts, english","GM","0","NONE","2.0","2201",""
"113183","2343216","","2","5.0","9298","Raisins, dark, seedless (Includes foods for USDA's Food Distribution Program)","GM","0","NONE","5.0","251",""
"113185","2343216","","4","3.0","9087","Dates, deglet noor","GM","0","NONE","3.0","251",""
"113186","2343216","","5","2.0","9011","Apples, dried, sulfured, uncooked","GM","0","NONE","2.0","251",""
"113182","2343216","","1","88.0","18968","Bagels, wheat","GM","0","NONE","88.0","0",""
"113187","2343217","","1","100.0","18968","Bagels, wheat","GM","0","NONE","100.0","0",""
"113188","2343218","","1","100.0","18264","Muffins, English, wheat","GM","0","NONE","100.0","0",""
"113189","2343219","","1","90.0","18264","Muffins, English, wheat","GM","0","NONE","90.0","0",""
"113190","2343219","","2","10.0","9298","Raisins, dark, seedless (Includes foods for USDA's Food Distribution Program)","GM","0","NONE","10.0","251",""
"113191","2343220","","1","100.0","18264","Muffins, English, wheat","GM","0","NONE","100.0","0",""
"113192","2343221","","1","100.0","18264","Muffins, English, wheat","GM","0","NONE","100.0","0",""
"113194","2343222","","2","10.0","9298","Raisins, dark, seedless (Includes foods for USDA's Food Distribution Program)","GM","0","NONE","10.0","251",""
"113193","2343222","","1","100.0","18264","Muffins, English, wheat","GM","0","NONE","100.0","0",""
"113195","2343223","","1","100.0","51303050","Muffin, English, wheat or cracked wheat, with raisins","GM","0","NONE","100.0","0",""
"113196","2343224","","1","100.0","18264","Muffins, English, wheat","GM","0","NONE","100.0","0",""
"113200","2343225","","4","5.0","12201","Seeds, sesame seed kernels, dried (decorticated)","GM","0","NONE","5.0","3771",""
"113201","2343225","","5","3.0","4554","Shortening industrial, soybean (hydrogenated) and cottonseed","GM","0","NONE","3.0","0",""
